file,onset,duration,,file,onset,duration
G63028005,00:05.0,0.188,,B63028005,00:06.6,0.475
G63028005,00:12.3,0.15,,B63028005,00:08.5,0.537
G63028005,00:18.1,0.2,,B63028005,00:10.7,0.475
G63028005,00:18.6,0.113,,B63028005,00:12.1,0.487
G63028005,00:27.4,0.237,,B63028005,00:13.5,0.512
G63028005,00:34.8,0.175,,B63028005,00:15.2,0.537
G63028005,00:46.1,0.175,,B63028005,00:27.4,0.537
G63028005,01:01.3,0.138,,B63028005,00:29.6,0.525
G63028005,01:05.8,0.15,,B63028005,00:31.1,0.5
G63028005,01:06.3,0.1,,B63028005,00:32.6,0.537
G63028005,01:10.2,0.212,,B63028005,00:45.8,0.625
G63028005,01:17.6,0.113,,B63028005,00:47.1,0.625
G63028005,01:25.2,0.25,,B63028005,00:48.1,1.863
G63028005,01:38.1,0.175,,B63028005,00:50.0,1.35
G63028005,01:43.1,0.25,,B63028005,00:51.5,0.7
G63028005,01:50.5,0.212,,B63028005,00:52.5,0.512
G63028005,01:51.0,0.138,,B63028005,00:59.9,0.525
G63028005,01:51.5,0.138,,B63028005,01:01.5,0.45
G63028005,01:56.6,0.212,,B63028005,01:26.2,0.588
G63028005,01:57.2,0.087,,B63028005,01:27.1,0.8
G63028005,02:06.2,0.175,,B63028005,01:28.3,0.85
G63028005,02:06.8,0.125,,B63028005,01:29.3,1.013
G63028005,02:14.1,0.263,,B63028005,01:30.6,2.2
G63028005,02:30.3,0.163,,B63028005,01:33.1,1.575
G63028005,02:34.9,0.125,,B63028005,01:35.3,0.7
G63028005,02:36.4,0.25,,B63028005,02:01.5,0.487
G63028005,02:37.0,0.15,,B63028005,02:03.9,0.5
G63028005,02:50.0,0.2,,B63028005,02:05.4,0.512
G63028005,02:56.3,0.275,,B63028005,02:07.1,0.487
G63028005,03:03.6,0.188,,B63028005,02:18.7,0.5
G63028005,03:06.9,0.212,,B63028005,02:20.0,0.5
G63028005,03:07.5,0.175,,B63028005,02:21.0,0.637
G63028005,03:09.4,0.125,,B63028005,02:22.2,0.688
G63028005,03:22.3,0.2,,B63028005,02:23.4,0.963
G63028005,03:26.7,0.2,,B63028005,02:24.6,0.588
G63028005,03:31.8,0.15,,B63028005,02:25.3,0.625
G63028005,03:32.3,0.138,,B63028005,02:26.3,0.487
G63028005,03:41.2,0.287,,B63028005,02:30.8,0.487
G63028005,03:41.9,0.163,,B63028005,02:33.2,0.475
G63028005,03:48.4,0.175,,B63028005,02:35.0,0.425
G63028005,03:49.0,0.113,,B63028005,02:47.4,0.537
G63028005,03:50.7,0.113,,B63028005,03:08.1,0.55
G63028005,04:03.7,0.212,,B63028005,03:09.3,0.563
G63028005,04:04.4,0.15,,B63028005,03:10.1,1.013
G63028005,04:12.2,0.212,,B63028005,03:11.3,3.337
