file,onset,duration,,file,onset,duration
G52941005,00:04.9,0.1,,B52941005,00:00.0,1.18
G52941005,00:09.4,0.14,,B52941005,00:01.5,0.98
G52941005,00:11.9,0.13,,B52941005,00:02.6,1.88
G52941005,00:39.8,0.16,,B52941005,00:04.9,0.74
G52941005,00:40.4,0.2,,B52941005,00:06.1,0.8
G52941005,00:41.0,0.18,,B52941005,00:07.5,0.79
G52941005,00:43.6,0.2,,B52941005,00:13.1,0.43
G52941005,00:46.2,0.15,,B52941005,00:14.3,0.46
G52941005,00:49.6,0.2,,B52941005,00:15.1,0.96
G52941005,00:50.0,0.14,,B52941005,00:16.4,0.94
G52941005,00:52.7,0.21,,B52941005,00:17.7,0.95
G52941005,00:53.2,0.21,,B52941005,00:19.0,1.13
G52941005,00:54.2,0.15,,B52941005,00:20.4,0.96
G52941005,01:18.3,0.11,,B52941005,00:21.7,0.79
G52941005,01:19.1,0.1,,B52941005,00:23.0,0.7
G52941005,01:22.5,0.28,,B52941005,00:24.2,0.76
G52941005,01:23.1,0.21,,B52941005,00:25.1,6.06
G52941005,01:24.8,0.18,,B52941005,00:31.3,2.99
G52941005,01:25.3,0.19,,B52941005,00:34.6,0.96
G52941005,01:25.7,0.15,,B52941005,00:36.1,0.8
G52941005,01:26.3,0.16,,B52941005,00:37.3,1
G52941005,01:35.5,0.19,,B52941005,00:38.6,0.71
G52941005,01:36.0,0.15,,B52941005,00:41.9,0.51
G52941005,01:36.8,0.19,,B52941005,00:43.2,0.69
G52941005,01:44.7,0.16,,B52941005,00:44.4,0.59
G52941005,01:45.2,0.08,,B52941005,00:45.6,0.59
G52941005,01:57.1,0.13,,B52941005,00:46.9,0.61
G52941005,02:01.9,0.14,,B52941005,00:48.1,0.59
G52941005,02:02.3,0.08,,B52941005,00:55.1,0.6
G52941005,02:02.9,0.16,,B52941005,00:56.4,0.63
G52941005,02:15.5,0.09,,B52941005,00:57.7,0.68
G52941005,02:16.0,0.09,,B52941005,00:59.0,0.65
G52941005,02:19.1,0.21,,B52941005,01:00.3,0.65
G52941005,02:35.1,0.19,,B52941005,01:01.6,0.68
G52941005,02:35.7,0.19,,B52941005,01:09.0,0.98
G52941005,02:36.4,0.15,,B52941005,01:10.2,0.94
G52941005,02:43.1,0.16,,B52941005,01:11.5,0.74
G52941005,02:57.1,0.25,,B52941005,01:12.5,5.55
G52941005,02:59.1,0.26,,B52941005,01:18.1,0.83
G52941005,02:59.6,0.19,,B52941005,01:19.5,1.19
G52941005,03:00.1,0.19,,B52941005,01:27.1,0.64
G52941005,03:01.5,0.19,,B52941005,01:28.3,0.6
G52941005,03:06.2,0.15,,B52941005,01:29.5,0.6
G52941005,03:11.1,0.13,,B52941005,01:30.7,0.66
G52941005,03:18.1,0.31,,B52941005,01:31.9,0.68
G52941005,03:20.0,0.19,,B52941005,01:33.1,0.68
G52941005,03:23.3,0.14,,B52941005,01:34.3,0.75
G52941005,03:37.9,0.19,,B52941005,01:42.8,0.54
G52941005,03:38.4,0.21,,B52941005,01:44.0,0.6
G52941005,03:38.9,0.2,,B52941005,01:45.2,0.66
G52941005,03:41.4,0.25,,B52941005,01:46.5,0.63
G52941005,03:43.2,0.15,,B52941005,01:47.4,1.06
G52941005,03:56.6,0.13,,B52941005,01:48.7,0.58
G52941005,03:57.7,0.46,,B52941005,01:49.6,6.3
G52941005,03:59.5,0.2,,B52941005,01:56.1,1.16
G52941005,04:01.0,0.2,,B52941005,01:59.6,0.51
G52941005,04:07.5,0.21,,B52941005,02:00.8,0.5
G52941005,04:08.0,0.19,,B52941005,02:02.1,0.61
G52941005,04:09.0,0.19,,B52941005,02:03.3,0.64
G52941005,04:16.5,0.24,,B52941005,02:04.5,0.64
G52941005,04:19.2,0.23,,B52941005,02:05.8,0.6
G52941005,04:24.1,0.73,,B52941005,02:07.2,0.53
G52941005,04:25.0,0.15,,B52941005,02:09.5,0.59
G52941005,04:25.3,0.15,,B52941005,02:10.4,0.59
G52941005,04:42.4,0.31,,B52941005,02:11.5,0.69
G52941005,04:42.8,0.15,,B52941005,02:12.8,0.7
G52941005,04:43.4,0.2,,B52941005,02:14.1,0.65
G52941005,04:43.9,0.23,,B52941005,02:15.3,0.6
G52941005,04:48.5,0.2,,B52941005,02:16.6,0.69
G52941005,04:48.9,0.16,,B52941005,02:21.9,0.66
G52941005,04:51.3,0.21,,B52941005,02:22.9,0.86
G52941005,04:51.7,0.24,,B52941005,02:24.3,0.84
G52941005,04:52.0,0.14,,B52941005,02:25.4,0.96
G52941005,04:52.6,0.15,,B52941005,02:26.6,1.04
G52941005,04:54.1,0.25,,B52941005,02:27.9,1.13
G52941005,04:57.2,0.21,,B52941005,02:29.1,0.64
G52941005,04:59.1,0.24,,B52941005,02:30.0,0.88
G52941005,05:02.3,0.31,,B52941005,02:31.2,0.95
G52941005,05:02.8,0.2,,B52941005,02:32.6,0.93
G52941005,05:16.3,0.23,,B52941005,02:44.8,0.6
G52941005,05:16.6,0.29,,B52941005,02:46.0,1
G52941005,05:16.9,0.18,,B52941005,02:47.2,6.46
G52941005,05:17.2,0.24,,B52941005,02:53.9,2.31
G52941005,05:17.8,0.23,,B52941005,03:03.9,0.58
G52941005,05:22.9,0.19,,B52941005,03:06.2,0.55
G52941005,05:23.9,0.26,,B52941005,03:07.5,0.53
G52941005,05:25.7,0.2,,B52941005,03:08.7,0.63
G52941005,05:30.1,0.2,,B52941005,03:09.9,0.61
G52941005,05:30.8,0.11,,B52941005,03:11.3,0.5
G52941005,05:38.2,0.13,,B52941005,03:12.4,0.66
G52941005,05:38.6,0.23,,B52941005,03:28.8,7.14
G52941005,05:41.2,0.16,,B52941005,03:44.5,0.51
G52941005,05:48.4,0.18,,B52941005,03:45.1,8.35
G52941005,05:48.9,0.18,,B52941005,03:53.8,0.96
G52941005,05:49.5,0.15,,B52941005,03:55.3,0.74
G52941005,06:01.8,0.23,,B52941005,03:56.7,0.75
G52941005,06:02.4,0.11,,B52941005,04:05.5,0.71
G52941005,06:04.8,0.08,,B52941005,04:09.8,0.6
G52941005,06:05.2,0.09,,B52941005,04:11.1,0.61
G52941005,06:05.4,0.27,,B52941005,04:12.3,0.69
G52941005,06:05.8,0.5,,B52941005,04:13.6,0.64
G52941005,06:06.9,0.12,,B52941005,04:15.0,0.79
G52941005,06:08.2,0.17,,B52941005,04:21.9,0.51
G52941005,06:12.5,0.13,,B52941005,04:23.3,0.5
G52941005,06:13.2,0.11,,B52941005,04:26.0,0.55
G52941005,06:15.2,0.11,,B52941005,04:27.3,0.55
G52941005,06:17.3,0.3,,B52941005,04:28.4,0.56
G52941005,06:17.9,0.16,,B52941005,04:29.5,0.63
G52941005,06:18.6,0.14,,B52941005,04:30.3,0.54
G52941005,06:19.5,0.21,,B52941005,04:30.9,9.98
G52941005,06:20.3,0.14,,B52941005,04:41.0,1.04
G52941005,06:27.0,0.12,,B52941005,04:42.8,0.59
G52941005,06:27.3,0.08,,B52941005,05:03.1,9.1
G52941005,06:27.6,0.12,,B52941005,05:12.3,3.2
G52941005,06:27.8,0.27,,B52941005,05:21.5,0.55
G52941005,06:30.3,0.11,,B52941005,05:31.9,0.49
G52941005,06:39.5,0.19,,B52941005,05:33.2,0.59
G52941005,06:40.3,0.14,,B52941005,05:34.4,0.58
G52941005,06:51.4,0.51,,B52941005,05:35.6,0.6
G52941005,06:52.1,0.23,,B52941005,05:36.6,0.94
G52941005,06:54.1,0.17,,B52941005,05:37.7,1.08
G52941005,06:58.3,0.17,,B52941005,05:38.9,1.84
G52941005,07:01.7,0.21,,B52941005,05:41.2,0.79
G52941005,07:02.7,0.23,,B52941005,05:42.6,0.68
G52941005,07:03.4,0.15,,B52941005,05:51.8,1.2
G52941005,07:15.0,0.71,,B52941005,05:53.2,0.89
G52941005,07:15.9,0.44,,B52941005,05:54.4,0.91
G52941005,07:16.5,0.15,,B52941005,05:55.6,0.86
G52941005,07:17.6,0.23,,B52941005,05:56.7,2.44
G52941005,07:21.3,0.09,,B52941005,05:59.8,0.58
G52941005,07:23.3,0.27,,B52941005,06:01.1,0.58
G52941005,07:24.0,0.19,,B52941005,06:02.2,0.64
G52941005,07:25.4,0.19,,B52941005,06:03.4,0.66
G52941005,07:25.8,0.19,,B52941005,06:04.6,0.71
G52941005,07:28.7,0.21,,B52941005,06:07.7,0.54
G52941005,07:29.2,0.17,,B52941005,06:08.9,0.59
G52941005,07:29.7,0.14,,B52941005,06:10.1,0.54
G52941005,07:30.5,0.17,,B52941005,06:11.4,0.56
G52941005,07:41.7,0.18,,B52941005,06:12.5,0.74
G52941005,07:42.0,0.16,,B52941005,06:13.9,0.66
G52941005,07:43.0,0.08,,B52941005,06:23.2,0.53
G52941005,07:45.6,0.12,,B52941005,06:24.4,0.58
G52941005,07:46.6,0.23,,B52941005,06:25.7,0.56
G52941005,07:47.2,0.16,,B52941005,06:26.9,0.64
G52941005,07:49.9,0.14,,B52941005,06:28.2,0.6
G52941005,07:51.1,0.19,,B52941005,06:29.1,0.51
G52941005,07:51.4,0.31,,B52941005,06:30.4,0.56
G52941005,07:51.8,0.11,,B52941005,06:31.7,1.14
G52941005,07:52.0,0.2,,B52941005,06:33.0,6.21
G52941005,07:52.6,0.16,,B52941005,06:54.5,0.55
G52941005,07:53.6,0.32,,B52941005,06:56.3,0.63
G52941005,08:04.8,0.17,,B52941005,07:03.7,0.69
G52941005,08:06.4,0.1,,B52941005,07:04.9,3.46
G52941005,08:09.0,0.22,,B52941005,07:08.6,5.51
G52941005,08:12.4,0.32,,B52941005,07:35.3,0.69
G52941005,08:12.9,0.24,,B52941005,07:36.5,0.69
G52941005,08:17.0,0.11,,B52941005,07:37.4,0.83
G52941005,08:17.4,0.11,,B52941005,07:38.6,0.78
G52941005,08:25.2,0.42,,B52941005,07:39.8,0.79
G52941005,08:25.8,0.13,,B52941005,07:41.0,0.73
G52941005,08:26.0,0.23,,B52941005,07:42.2,1.18
G52941005,08:26.4,0.14,,B52941005,07:43.5,1.11
G52941005,08:26.8,0.12,,B52941005,07:45.6,0.53
G52941005,08:27.8,0.11,,B52941005,07:55.4,1.01
G52941005,08:31.5,0.14,,B52941005,07:56.6,5.34
G52941005,08:35.5,0.21,,B52941005,08:02.4,0.78
G52941005,08:42.2,0.16,,B52941005,08:03.8,0.79
G52941005,08:46.7,0.28,,B52941005,08:05.1,0.89
G52941005,08:47.5,0.12,,B52941005,08:06.4,0.95
G52941005,08:47.8,0.19,,B52941005,08:07.6,1.14
G52941005,08:48.2,0.13,,B52941005,08:15.7,0.64
G52941005,08:56.7,0.19,,B52941005,08:16.6,0.79
G52941005,08:57.1,0.16,,B52941005,08:17.8,0.9
G52941005,08:59.6,0.25,,B52941005,08:19.0,1
G52941005,09:00.3,0.21,,B52941005,08:20.2,0.58
G52941005,09:02.1,0.16,,B52941005,08:21.4,0.69
G52941005,09:02.5,0.14,,B52941005,08:22.7,0.66
G52941005,09:02.9,0.14,,B52941005,08:24.0,0.71
G52941005,09:03.4,0.16,,B52941005,08:25.3,0.61
G52941005,09:04.2,0.13,,B52941005,08:26.6,0.5
G52941005,09:04.4,0.14,,B52941005,08:27.8,0.65
G52941005,09:08.5,0.18,,B52941005,08:29.0,0.6
G52941005,09:13.8,0.24,,B52941005,08:30.2,0.65
G52941005,09:14.5,0.16,,B52941005,08:31.4,0.63
G52941005,09:16.2,0.13,,B52941005,08:32.7,0.55
G52941005,09:16.4,0.15,,B52941005,08:34.0,0.6
G52941005,09:16.6,0.21,,B52941005,08:35.7,0.68
G52941005,09:17.0,0.11,,B52941005,08:36.8,0.71
G52941005,09:17.6,0.11,,B52941005,08:37.9,0.81
G52941005,09:17.9,0.13,,B52941005,08:39.0,0.84
G52941005,09:18.3,0.06,,B52941005,08:40.2,0.71
G52941005,09:20.7,0.18,,B52941005,08:41.4,0.74
G52941005,09:21.5,0.12,,B52941005,08:42.6,0.79
G52941005,09:23.5,0.09,,B52941005,08:47.0,0.55
G52941005,09:24.3,0.08,,B52941005,08:48.4,0.8
G52941005,09:24.8,0.19,,B52941005,08:49.5,0.99
G52941005,09:26.5,0.27,,B52941005,08:50.8,0.95
G52941005,09:27.1,0.22,,B52941005,08:52.1,0.95
G52941005,09:30.9,0.29,,B52941005,08:53.4,0.89
G52941005,09:31.5,0.32,,B52941005,08:54.7,0.88
G52941005,09:31.9,0.16,,B52941005,08:56.0,0.6
G52941005,09:34.4,0.11,,B52941005,08:57.2,0.69
G52941005,09:35.2,0.16,,B52941005,08:58.6,0.65
G52941005,09:44.8,0.09,,B52941005,09:05.0,0.71
G52941005,09:45.0,0.1,,B52941005,09:06.2,0.71
G52941005,09:48.4,0.12,,B52941005,09:07.5,0.73
G52941005,09:49.7,0.23,,B52941005,09:08.7,0.78
G52941005,09:53.9,0.21,,B52941005,09:09.9,0.83
G52941005,09:54.4,0.13,,B52941005,09:11.3,0.95
G52941005,09:54.6,0.35,,B52941005,09:12.5,1.09
G52941005,09:55.4,0.15,,B52941005,09:15.7,0.5
G52941005,09:56.1,0.13,,B52941005,09:17.1,0.59
G52941005,09:58.7,0.33,,B52941005,09:18.3,0.65
G52941005,09:59.6,0.15,,B52941005,09:19.6,0.65
G52941005,10:00.0,0.17,,B52941005,09:22.9,0.45
G52941005,10:00.4,0.16,,B52941005,09:24.1,0.49
G52941005,10:00.8,0.11,,B52941005,09:25.3,0.54
G52941005,10:04.3,0.13,,B52941005,09:26.5,0.51
G52941005,10:04.7,0.09,,B52941005,09:27.8,0.56
G52941005,10:05.2,0.16,,B52941005,09:29.0,0.58
G52941005,10:06.9,0.15,,B52941005,09:33.2,0.63
G52941005,10:07.5,0.14,,B52941005,09:34.4,0.71
G52941005,10:11.7,0.18,,B52941005,09:35.8,0.94
G52941005,10:12.4,0.14,,B52941005,09:37.1,5.34
G52941005,10:15.6,0.06,,B52941005,09:42.7,0.96
G52941005,10:16.0,0.08,,B52941005,09:43.8,0.91
G52941005,10:19.6,0.08,,B52941005,09:45.0,1.06
G52941005,10:25.5,0.46,,B52941005,09:46.2,0.69
G52941005,10:26.0,0.22,,B52941005,09:47.4,0.66
G52941005,10:26.4,0.17,,B52941005,09:48.7,0.68
G52941005,10:26.7,0.13,,B52941005,09:50.0,0.71
G52941005,10:27.1,0.14,,B52941005,10:04.4,0.4
G52941005,10:29.5,0.14,,B52941005,10:05.6,0.54
G52941005,10:30.1,0.06,,B52941005,10:06.8,0.56
G52941005,10:37.5,0.13,,B52941005,10:08.0,0.61
G52941005,10:38.0,0.18,,B52941005,10:09.3,0.61
G52941005,10:38.4,0.15,,B52941005,10:10.6,0.6
G52941005,10:38.9,0.15,,B52941005,10:14.4,0.48
G52941005,10:42.5,0.26,,B52941005,10:15.6,0.48
G52941005,10:43.1,0.21,,B52941005,10:16.8,5.24
G52941005,10:46.2,0.21,,B52941005,10:22.5,0.81
G52941005,10:51.6,0.09,,B52941005,10:23.8,0.75
G52941005,10:53.8,0.11,,B52941005,10:29.6,0.71
G52941005,10:54.4,0.16,,B52941005,10:30.7,0.68
G52941005,10:56.9,0.18,,B52941005,10:32.0,0.64
G52941005,10:57.2,0.61,,B52941005,10:33.1,0.69
G52941005,10:57.8,0.13,,B52941005,10:34.4,0.73
G52941005,10:58.2,0.16,,B52941005,10:35.8,0.71
G52941005,10:58.6,0.05,,B52941005,10:46.6,0.46
G52941005,11:02.8,0.24,,B52941005,10:47.5,0.96
G52941005,11:03.4,0.16,,B52941005,10:48.6,2.26
G52941005,11:05.4,0.07,,B52941005,10:51.0,1.14
G52941005,11:06.1,0.26,,B52941005,10:52.3,1.09
G52941005,11:13.1,0.16,,B52941005,10:53.5,0.63
G52941005,11:13.5,0.11,,B52941005,10:54.8,0.69
G52941005,11:15.1,0.45,,B52941005,10:55.9,0.6
G52941005,11:16.7,0.21,,B52941005,10:57.2,0.65
G52941005,11:19.5,0.2,,B52941005,10:58.4,0.56
G52941005,11:20.1,0.19,,B52941005,11:04.2,0.64
G52941005,11:20.8,0.23,,B52941005,11:05.3,0.6
G52941005,11:24.2,0.14,,B52941005,11:06.4,0.6
G52941005,11:35.1,0.06,,B52941005,11:07.4,0.75
G52941005,11:37.5,0.13,,B52941005,11:08.5,0.74
G52941005,11:37.8,0.14,,B52941005,11:09.7,0.76
G52941005,11:38.1,0.16,,B52941005,11:10.9,0.81
G52941005,11:38.5,0.14,,B52941005,11:12.3,0.66
G52941005,11:41.4,0.19,,B52941005,11:13.8,0.63
G52941005,11:41.8,0.17,,B52941005,11:21.8,0.68
G52941005,11:42.2,0.15,,B52941005,11:23.1,0.8
G52941005,11:45.8,0.25,,B52941005,11:24.4,0.73
G52941005,11:46.5,0.19,,B52941005,11:25.5,4.4
