file,onset,duration,,file,onset,duration
G61221007,00:07.6,0.175,,B61221007,01:17.3,0.407
G61221007,00:24.9,0.063,,B61221007,01:18.8,0.464
G61221007,00:37.5,0.107,,B61221007,01:20.3,0.457
G61221007,00:50.2,0.082,,B61221007,01:21.7,0.532
G61221007,01:02.7,0.15,,B61221007,01:45.0,0.282
G61221007,01:26.3,0.169,,B61221007,01:46.2,0.313
G61221007,02:02.6,0.169,,B61221007,01:47.5,0.451
G61221007,02:26.7,0.169,,B61221007,01:48.8,0.451
G61221007,02:34.1,0.069,,B61221007,01:51.1,0.507
G61221007,02:52.9,0.157,,B61221007,01:53.5,0.539
G61221007,03:08.4,0.138,,B61221007,01:55.2,0.532
G61221007,03:24.9,0.169,,B61221007,01:56.6,0.651
G61221007,03:40.4,0.157,,B61221007,01:58.0,0.626
G61221007,03:52.0,0.15,,B61221007,01:59.4,0.651
G61221007,04:13.2,0.144,,B61221007,02:57.2,0.539
G61221007,04:50.0,0.094,,B61221007,04:01.6,0.576
G61221007,05:03.1,0.132,,B61221007,04:03.4,0.576
G61221007,05:20.2,0.132,,B61221007,04:04.9,0.576
G61221007,05:45.2,0.188,,B61221007,04:06.7,0.558
G61221007,06:20.8,0.182,,B61221007,04:44.1,0.395
G61221007,06:39.8,0.169,,B61221007,04:58.9,0.576
G61221007,06:53.2,0.15,,B61221007,05:00.8,0.532
G61221007,07:03.6,0.113,,B61221007,06:07.9,0.401
G61221007,07:16.0,0.175,,B61221007,06:32.4,0.482
G61221007,07:46.3,0.175,,B61221007,06:34.2,0.57
G61221007,08:13.6,0.163,,B61221007,06:35.6,0.633
G61221007,08:29.5,0.15,,B61221007,07:37.9,0.564
G61221007,08:53.0,0.182,,B61221007,07:39.3,0.539
G61221007,09:08.7,0.144,,B61221007,07:40.6,0.601
G61221007,09:40.1,0.188,,B61221007,07:42.0,0.589
G61221007,09:55.4,0.144,,B61221007,07:43.3,0.608
G61221007,10:22.0,0.157,,B61221007,07:44.6,0.639
G61221007,10:44.1,0.163,,B61221007,08:06.9,0.407
G61221007,11:02.8,0.194,,B61221007,08:31.6,0.432
G61221007,11:20.1,0.182,,B61221007,08:40.3,0.532
G61221007,11:31.7,0.169,,B61221007,08:41.5,0.576
G61221007,11:42.5,0.082,,B61221007,08:42.9,0.589
G61221007,12:01.4,0.169,,B61221007,08:44.2,0.645
G61221007,12:12.8,0.157,,B61221007,08:45.5,0.576
G61221007,12:25.5,0.15,,B61221007,09:28.2,0.589
G61221007,12:41.0,0.182,,B61221007,09:29.5,0.551
G61221007,12:50.2,0.119,,B61221007,09:30.9,0.62
G61221007,12:56.2,0.138,,B61221007,09:32.3,0.952
G61221007,13:05.0,0.194,,B61221007,09:34.3,0.445
G61221007,13:15.6,0.157,,B61221007,09:35.7,0.464
G61221007,13:46.2,0.157,,B61221007,09:37.3,0.495
