file,onset,duration,,file,onset,duration
G61133005,00:14.7,0.25,,B61133005,00:03.9,0.445
G61133005,00:19.5,0.225,,B61133005,00:04.7,0.796
G61133005,00:33.8,0.263,,B61133005,00:06.0,0.67
G61133005,00:47.0,0.237,,B61133005,00:07.1,0.984
G61133005,01:04.7,0.225,,B61133005,00:08.4,1.04
G61133005,01:08.1,0.237,,B61133005,00:10.0,0.965
G61133005,01:13.0,0.225,,B61133005,00:21.9,0.532
G61133005,01:13.6,0.225,,B61133005,00:23.1,0.67
G61133005,01:25.6,0.188,,B61133005,00:24.1,3.721
G61133005,01:48.5,0.2,,B61133005,00:28.1,0.771
G61133005,01:54.2,0.25,,B61133005,00:29.8,0.576
G61133005,02:07.1,0.237,,B61133005,00:38.8,0.576
G61133005,02:12.0,0.225,,B61133005,00:40.3,0.645
G61133005,02:12.6,0.263,,B61133005,00:50.3,0.714
G61133005,02:32.7,0.212,,B61133005,00:51.2,8.57
G61133005,02:40.1,0.212,,B61133005,01:27.5,0.965
G61133005,02:44.1,0.25,,B61133005,01:28.8,0.99
G61133005,02:44.6,0.263,,B61133005,01:30.1,0.814
G61133005,02:55.2,0.175,,B61133005,01:31.3,0.94
G61133005,03:06.4,0.25,,B61133005,01:32.5,1.053
G61133005,03:07.0,0.325,,B61133005,01:33.7,1.228
G61133005,03:13.5,0.15,,B61133005,01:35.1,0.539
G61133005,03:33.8,0.212,,B61133005,01:51.3,0.639
G61133005,03:36.9,0.275,,B61133005,01:54.6,0.595
G61133005,03:37.5,0.275,,B61133005,01:55.8,0.601
G61133005,03:44.2,0.188,,B61133005,01:57.0,0.589
G61133005,03:58.8,0.275,,B61133005,01:58.3,0.589
G61133005,04:06.8,0.2,,B61133005,01:59.2,1.222
G61133005,04:19.2,0.3,,B61133005,02:00.5,1.053
G61133005,04:19.8,0.263,,B61133005,02:01.7,0.94
G61133005,04:30.4,0.25,,B61133005,02:03.0,0.808
G61133005,04:41.3,0.138,,B61133005,02:04.3,0.664
G61133005,04:51.7,0.212,,B61133005,02:05.8,0.52
G61133005,04:52.7,0.275,,B61133005,02:22.3,0.608
G61133005,04:58.2,0.237,,B61133005,02:23.1,4.06
G61133005,05:17.6,0.388,,B61133005,02:27.3,1.159
G61133005,05:24.9,0.075,,B61133005,02:28.6,0.326
G61133005,05:36.7,0.175,,B61133005,02:29.1,1.121
G61133005,05:40.9,0.15,,B61133005,02:30.4,0.601
G61133005,05:45.8,0.225,,B61133005,02:49.6,0.746
G61133005,05:46.3,0.313,,B61133005,02:51.2,0.771
G61133005,06:06.4,0.2,,B61133005,02:52.8,0.702
G61133005,06:10.5,0.15,,B61133005,02:56.2,0.495
G61133005,06:11.2,0.175,,B61133005,02:57.5,0.802
G61133005,06:25.3,0.15,,B61133005,02:58.8,0.608
G61133005,06:41.8,0.188,,B61133005,03:00.0,0.583
G61133005,06:45.6,0.163,,B61133005,03:01.1,0.833
G61133005,06:46.1,0.225,,B61133005,03:02.2,0.564
G61133005,07:09.4,0.225,,B61133005,03:03.8,0.476
G61133005,07:18.3,0.237,,B61133005,03:18.9,0.883
G61133005,07:24.8,0.1,,B61133005,03:20.1,0.545
G61133005,07:37.4,0.163,,B61133005,03:21.2,0.752
G61133005,07:38.0,0.163,,B61133005,03:22.3,0.915
G61133005,07:58.3,0.163,,B61133005,03:23.6,0.777
G61133005,08:01.9,0.25,,B61133005,03:24.6,1.096
G61133005,08:02.5,0.25,,B61133005,03:25.8,4.943
G61133005,08:28.2,0.2,,B61133005,03:31.2,0.796
G61133005,08:28.7,0.225,,B61133005,03:32.6,0.558
G61133005,08:49.2,0.263,,B61133005,03:53.3,0.532
G61133005,08:54.7,0.175,,B61133005,03:57.7,0.595
G61133005,09:09.5,0.225,,B61133005,03:59.2,0.589
G61133005,09:18.8,0.188,,B61133005,04:00.6,0.583
G61133005,09:24.8,0.175,,B61133005,04:07.8,0.57
G61133005,09:25.3,0.275,,B61133005,04:09.3,0.852
G61133005,09:35.7,0.175,,B61133005,04:10.6,0.683
G61133005,09:47.5,0.25,,B61133005,04:11.8,0.689
G61133005,09:48.1,0.275,,B61133005,04:13.0,0.783
G61133005,09:54.0,0.163,,B61133005,04:14.2,0.821
G61133005,09:54.3,0.212,,B61133005,04:22.3,0.689
G61133005,10:13.3,0.175,,B61133005,04:23.5,0.758
G61133005,10:13.9,0.212,,B61133005,04:25.0,0.476
