file,onset,duration,,file,onset,duration,
G62939005,06:13.8,0.125,,B62939005,03:36.8,0.412,B
G62939005,06:16.0,0.188,,B62939005,03:37.4,0.463,B
G62939005,06:24.3,0.2,,B62939005,03:38.5,0.5,B
G62939005,06:25.7,0.2,,B62939005,03:39.7,0.512,B
G62939005,06:28.6,0.188,,B62939005,03:40.8,0.613,B
G62939005,06:30.5,0.338,,B62939005,03:42.0,0.575,B
G62939005,06:31.0,0.113,,B62939005,03:43.3,0.563,B
G62939005,06:31.9,0.225,,B62939005,03:47.6,0.537,B
G62939005,06:34.3,0.138,,B62939005,03:48.6,0.613,B
G62939005,06:36.0,0.225,,B62939005,03:49.6,0.55,B
G62939005,06:39.5,0.125,,B62939005,03:50.7,0.6,B
G62939005,06:42.9,0.188,,B62939005,03:51.8,0.65,B
G62939005,06:45.9,0.125,,B62939005,03:52.9,0.662,B
G62939005,06:48.2,0.287,,B62939005,03:54.1,0.738,B
G62939005,06:58.7,0.125,,B62939005,03:57.3,0.563,B
G62939005,07:00.2,0.175,,B62939005,03:58.4,0.588,B
G62939005,07:04.2,0.225,,B62939005,03:59.7,2.212,B
G62939005,07:10.3,0.212,,B62939005,04:02.2,0.787,B
G62939005,07:10.7,0.15,,B62939005,04:03.7,0.588,B
G62939005,07:11.6,0.225,,B62939005,04:04.8,0.662,B
G62939005,07:12.1,0.163,,B62939005,04:06.1,0.688,B
G62939005,07:14.6,0.237,,B62939005,04:15.1,0.463,B
G62939005,07:15.3,0.175,,B62939005,04:16.1,0.575,B
G62939005,07:17.4,0.138,,B62939005,04:17.2,0.775,B
G62939005,07:31.9,0.2,,B62939005,04:18.3,0.637,B
G62939005,07:32.3,0.125,,B62939005,04:19.5,0.637,B
G62939005,07:33.5,0.163,,B62939005,04:20.8,0.575,B
G62939005,07:35.5,0.188,,B62939005,04:23.0,0.512,B
G62939005,07:36.5,0.512,,B62939005,04:24.1,0.375,B
G62939005,07:38.0,0.2,,B62939005,04:25.1,0.325,B
G62939005,07:43.4,0.25,,B62939005,04:25.8,0.8,B
G62939005,07:44.6,0.2,,B62939005,04:26.9,0.725,B
G62939005,07:45.1,0.212,,B62939005,04:28.1,0.575,B
G62939005,07:45.7,0.212,,B62939005,04:29.2,0.65,B
G62939005,07:46.3,0.188,,B62939005,04:30.4,0.688,B
G62939005,07:53.9,0.15,,B62939005,04:31.7,0.65,B
G62939005,07:57.2,0.163,,B62939005,04:36.5,0.512,B
G62939005,07:59.2,0.412,,B62939005,04:42.3,0.512,B
G62939005,08:00.1,0.212,,B62939005,04:44.2,0.713,B
G62939005,08:03.9,0.15,,B62939005,04:45.3,0.85,B
G62939005,08:06.1,0.237,,B62939005,04:46.3,2.8,B
G62939005,08:08.3,0.138,,B62939005,04:49.6,0.637,B
