file,onset,duration,,file,onset,duration,
G62939005,21:42.0,0.175,,B62939005,18:51.3,0.6,B
G62939005,21:43.1,0.15,,B62939005,18:52.4,0.637,B
G62939005,21:43.5,0.113,,B62939005,18:53.5,0.637,B
G62939005,21:53.2,0.212,,B62939005,18:54.7,0.65,B
G62939005,21:53.7,0.275,,B62939005,18:55.8,0.6,B
G62939005,21:56.6,0.2,,B62939005,18:59.9,0.575,B
G62939005,21:58.4,0.188,,B62939005,19:00.9,0.338,B
G62939005,21:58.8,0.1,,B62939005,19:02.0,0.362,B
G62939005,22:01.7,0.113,,B62939005,19:03.0,0.4,B
G62939005,22:07.0,0.175,,B62939005,19:04.1,0.463,B
G62939005,22:07.3,0.15,,B62939005,19:05.4,0.512,B
G62939005,22:09.9,0.313,,B62939005,19:07.1,0.525,B
G62939005,22:10.4,0.163,,B62939005,19:13.8,1.65,B
G62939005,22:11.0,0.188,,B62939005,19:15.9,0.6,B
G62939005,22:14.3,0.175,,B62939005,19:17.1,0.637,B
G62939005,22:17.9,0.15,,B62939005,19:22.0,0.525,B
G62939005,22:28.1,0.2,,B62939005,19:23.4,0.563,B
G62939005,22:28.5,0.2,,B62939005,19:24.7,0.6,B
G62939005,22:31.8,0.163,,B62939005,19:27.5,0.563,B
G62939005,22:41.9,0.138,,B62939005,19:35.7,0.575,B
G62939005,22:42.3,0.138,,B62939005,19:36.9,0.575,B
G62939005,22:42.7,0.175,,B62939005,19:38.1,0.625,B
G62939005,22:45.4,0.188,,B62939005,19:39.3,0.563,B
G62939005,22:50.5,0.175,,B62939005,19:46.8,0.6,B
G62939005,22:57.0,0.338,,B62939005,19:48.0,0.512,B
G62939005,22:59.2,0.225,,B62939005,19:49.2,0.6,B
G62939005,23:06.9,0.2,,B62939005,19:50.4,0.675,B
G62939005,23:10.3,0.125,,B62939005,19:51.7,0.662,B
G62939005,23:10.7,0.175,,B62939005,19:53.1,0.588,B
G62939005,23:11.8,0.287,,B62939005,19:54.8,0.55,B
G62939005,23:12.4,0.163,,B62939005,19:56.2,0.537,B
G62939005,23:14.1,0.188,,B62939005,19:59.1,0.537,B
G62939005,23:21.2,0.15,,B62939005,20:01.9,0.575,B
G62939005,23:23.0,0.2,,B62939005,20:03.1,0.512,B
G62939005,23:23.6,0.25,,B62939005,20:04.3,0.5,B
G62939005,23:34.1,0.212,,B62939005,20:05.6,0.525,B
G62939005,23:35.5,0.212,,B62939005,20:06.8,0.575,B
G62939005,23:36.0,0.225,,B62939005,20:08.0,0.838,B
G62939005,23:40.6,0.15,,B62939005,20:09.2,0.863,B
G62939005,23:41.0,0.338,,B62939005,20:10.2,0.925,B
G62939005,23:42.0,0.175,,B62939005,20:11.4,0.95,B
G62939005,23:44.9,0.163,,B62939005,20:12.8,0.662,B
G62939005,23:45.3,0.113,,B62939005,20:13.8,0.738,B
G62939005,23:46.6,0.125,,B62939005,20:15.1,0.6,B
G62939005,23:47.3,0.188,,B62939005,20:22.5,0.475,B
G62939005,23:50.0,0.3,,B62939005,20:23.4,0.438,B
G62939005,23:51.4,0.25,,B62939005,20:26.9,0.55,B
G62939005,23:54.1,0.175,,B62939005,20:44.7,0.8,B
G62939005,23:55.9,0.163,,B62939005,20:46.1,0.675,B
G62939005,23:56.3,0.175,,B62939005,20:47.3,0.588,B
G62939005,23:58.4,0.188,,B62939005,20:48.4,0.65,B
G62939005,23:58.8,0.1,,B62939005,20:49.7,0.637,B
G62939005,24:04.5,0.15,,B62939005,20:50.9,0.75,B
G62939005,24:04.9,0.125,,B62939005,20:53.5,0.537,B
G62939005,24:06.1,0.188,,B62939005,21:01.7,0.525,B
G62939005,24:06.6,0.175,,B62939005,21:02.9,0.525,B
G62939005,24:07.3,0.15,,B62939005,21:04.0,0.588,B
G62939005,24:10.9,0.15,,B62939005,21:05.2,0.65,B
G62939005,24:11.3,0.15,,B62939005,21:06.4,0.637,B
G62939005,24:12.5,0.25,,B62939005,21:07.7,0.662,B
G62939005,24:12.9,0.113,,B62939005,21:11.3,0.45,B
G62939005,24:15.0,0.163,,B62939005,21:12.3,0.425,B
G62939005,24:17.9,0.175,,B62939005,21:13.3,0.45,B
G62939005,24:20.4,0.237,,B62939005,21:14.4,0.425,B
G62939005,24:25.5,0.212,,B62939005,21:15.5,0.512,B
G62939005,24:27.1,0.163,,B62939005,21:16.7,0.475,B
G62939005,24:33.9,0.237,,B62939005,21:19.0,0.525,B
G62939005,24:34.2,0.125,,B62939005,21:20.1,0.537,B
G62939005,24:45.8,0.163,,B62939005,21:21.2,0.662,B
G62939005,24:47.6,0.163,,B62939005,21:22.3,0.625,B
G62939005,24:47.9,0.25,,B62939005,21:23.4,0.688,B
G62939005,24:48.3,0.125,,B62939005,21:24.6,0.662,B
G62939005,24:51.8,0.25,,B62939005,21:25.8,0.662,B
G62939005,24:54.1,0.163,,B62939005,21:29.4,0.563,B
G62939005,24:56.4,0.225,,B62939005,21:31.7,0.625,B
G62939005,24:56.8,0.163,,B62939005,21:38.8,0.4,B
G62939005,24:59.7,0.15,,B62939005,21:43.9,1.225,B
G62939005,25:01.2,0.125,,B62939005,21:45.7,0.613,B
G62939005,25:05.5,0.237,,B62939005,21:46.9,0.575,B
G62939005,25:10.5,0.212,,B62939005,21:48.1,0.65,B
G62939005,25:11.7,0.138,,B62939005,21:49.3,0.688,B
G62939005,25:13.8,0.175,,B62939005,21:50.6,0.7,B
G62939005,25:14.2,0.1,,B62939005,21:55.8,0.537,B
G62939005,25:15.8,0.188,,B62939005,22:00.6,0.55,B
G62939005,25:19.7,0.15,,B62939005,22:05.3,0.575,B
G62939005,25:20.2,0.138,,B62939005,22:15.9,0.575,B
G62939005,25:27.0,0.175,,B62939005,22:20.3,0.5,B
G62939005,25:27.2,0.138,,B62939005,22:21.5,0.55,B
G62939005,25:30.4,0.2,,B62939005,22:22.5,0.637,B
G62939005,25:33.4,0.15,,B62939005,22:23.6,0.675,B
G62939005,25:34.5,0.163,,B62939005,22:24.8,0.637,B
G62939005,25:38.9,0.113,,B62939005,22:26.0,0.65,B
G62939005,25:40.7,0.237,,B62939005,22:33.4,0.512,B
G62939005,25:41.1,0.113,,B62939005,22:34.4,0.45,B
G62939005,25:53.7,0.163,,B62939005,22:35.0,3.413,B
G62939005,25:59.7,0.175,,B62939005,22:38.9,0.65,B
G62939005,26:00.1,0.15,,B62939005,22:40.1,0.8,B
G62939005,26:02.8,0.237,,B62939005,22:44.1,0.487,B
G62939005,26:06.4,0.188,,B62939005,22:54.3,0.5,B
G62939005,26:07.7,0.163,,B62939005,23:01.0,1,B
G62939005,26:15.2,0.188,,B62939005,23:02.3,0.775,B
G62939005,26:17.9,0.25,,B62939005,23:03.6,0.575,B
G62939005,26:19.4,0.212,,B62939005,23:04.7,0.45,B
G62939005,26:24.5,0.163,,B62939005,23:05.8,0.388,B
G62939005,26:25.1,0.188,,B62939005,23:09.1,0.738,B
G62939005,26:36.2,0.188,,B62939005,23:15.9,0.512,B
G62939005,26:38.4,0.225,,B62939005,23:17.2,0.55,B
G62939005,26:38.7,0.125,,B62939005,23:18.5,0.55,B
G62939005,26:40.1,0.25,,B62939005,23:24.9,0.588,B
G62939005,26:43.1,0.212,,B62939005,23:25.7,0.887,B
G62939005,26:43.5,0.15,,B62939005,23:26.9,0.912,B
G62939005,26:46.0,0.1,,B62939005,23:28.1,0.825,B
G62939005,26:48.9,0.325,,B62939005,23:29.3,0.725,B
G62939005,26:49.9,0.362,,B62939005,23:30.6,0.65,B
G62939005,26:51.1,0.15,,B62939005,23:46.1,0.625,B
G62939005,26:55.7,0.163,,B62939005,23:50.3,0.512,B
G62939005,26:56.1,0.15,,B62939005,23:54.6,0.487,B
G62939005,26:56.7,0.237,,B62939005,24:01.2,0.5,B
G62939005,27:01.0,0.225,,B62939005,24:08.9,0.512,B
G62939005,27:03.9,0.275,,B62939005,24:21.0,0.613,B
G62939005,27:08.0,0.113,,B62939005,24:22.5,0.6,B
G62939005,27:17.3,0.263,,B62939005,24:25.8,0.613,B
G62939005,27:17.7,0.175,,B62939005,24:27.2,0.5,B
G62939005,27:20.2,0.087,,B62939005,24:28.3,0.6,B
G62939005,27:22.2,0.1,,B62939005,24:29.5,0.637,B
G62939005,27:28.1,0.113,,B62939005,24:30.9,0.662,B
G62939005,27:30.0,0.15,,B62939005,24:35.8,0.475,B
G62939005,27:30.5,0.125,,B62939005,24:37.0,0.537,B
G62939005,27:34.7,0.163,,B62939005,24:37.7,5.037,B
G62939005,27:37.0,0.212,,B62939005,24:43.3,0.613,B
G62939005,27:37.5,0.25,,B62939005,24:58.4,0.537,B
G62939005,27:45.7,0.237,,B62939005,25:01.4,0.575,B
G62939005,27:50.1,0.163,,B62939005,25:07.2,0.425,B
G62939005,27:52.9,0.175,,B62939005,25:10.4,0.563,B
G62939005,27:53.2,0.138,,B62939005,25:12.6,0.475,B
G62939005,27:55.6,0.487,,B62939005,25:19.5,0.338,B
G62939005,27:58.8,0.163,,B62939005,25:20.6,0.35,B
G62939005,27:59.7,0.125,,B62939005,25:21.6,0.4,B
G62939005,28:11.7,0.15,,B62939005,25:22.7,0.425,B
G62939005,28:12.2,0.113,,B62939005,25:27.1,0.525,B
G62939005,28:15.9,0.263,,B62939005,25:30.7,0.575,B
G62939005,28:16.8,0.175,,B62939005,25:43.5,0.55,B
G62939005,28:18.0,0.113,,B62939005,25:45.5,0.55,B
G62939005,28:18.2,0.163,,B62939005,25:46.7,0.512,B
G62939005,28:19.8,0.237,,B62939005,25:47.8,0.588,B
G62939005,28:20.3,0.087,,B62939005,25:49.1,0.787,B
G62939005,28:20.9,0.263,,B62939005,25:50.5,0.675,B
G62939005,28:22.4,0.188,,B62939005,25:51.6,0.613,B
G62939005,28:22.7,0.138,,B62939005,25:52.7,0.625,B
G62939005,28:26.1,0.212,,B62939005,25:53.9,0.6,B
G62939005,28:27.7,0.212,,B62939005,25:55.1,0.65,B
G62939005,28:28.2,0.175,,B62939005,26:04.4,0.55,B
G62939005,28:33.1,0.237,,B62939005,26:24.1,0.537,B
G62939005,28:34.4,0.287,,B62939005,26:25.5,0.537,B
G62939005,28:34.8,0.163,,B62939005,26:26.6,1,B
G62939005,28:40.2,0.175,,B62939005,26:27.9,0.588,B
G62939005,28:44.3,0.163,,B62939005,26:28.6,0.475,B
G62939005,28:46.4,0.175,,B62939005,26:29.6,0.575,B
G62939005,28:46.8,0.138,,B62939005,26:30.8,0.537,B
G62939005,28:49.0,0.325,,B62939005,26:31.8,0.588,B
G62939005,28:50.1,0.287,,B62939005,26:33.0,0.6,B
G62939005,28:53.7,0.3,,B62939005,26:34.4,0.563,B
G62939005,28:55.8,0.163,,B62939005,26:37.3,0.5,B
G62939005,28:59.4,0.237,,B62939005,26:45.2,0.45,B
G62939005,28:59.8,0.212,,B62939005,26:59.2,0.5,B
G62939005,29:02.9,0.212,,B62939005,27:01.9,0.575,B
G62939005,29:03.2,0.188,,B62939005,27:08.6,0.55,B
G62939005,29:07.5,0.1,,B62939005,27:09.7,0.55,B
G62939005,29:18.3,0.212,,B62939005,27:10.9,0.588,B
G62939005,29:21.6,0.237,,B62939005,27:12.0,0.637,B
G62939005,29:24.3,0.212,,B62939005,27:13.2,0.613,B
G62939005,29:29.7,0.212,,B62939005,27:14.5,0.55,B
G62939005,29:32.7,0.175,,B62939005,27:20.2,0.525,B
G62939005,29:34.7,0.25,,B62939005,27:21.6,0.55,B
G62939005,29:35.1,0.237,,B62939005,27:24.8,0.362,B
G62939005,29:43.1,0.175,,B62939005,27:25.6,0.55,B
G62939005,29:44.2,0.1,,B62939005,27:26.9,0.637,B
G62939005,29:45.6,0.138,,B62939005,27:28.2,0.563,B
G62939005,29:48.1,0.212,,B62939005,27:39.9,0.6,B
G62939005,29:48.6,0.237,,B62939005,27:41.1,0.625,B
G62939005,29:52.0,0.237,,B62939005,27:42.4,0.637,B
G62939005,29:52.6,0.063,,B62939005,27:43.7,1.138,B
G62939005,29:54.7,0.188,,B62939005,27:45.0,0.65,B
G62939005,29:55.1,0.125,,B62939005,28:02.8,7.3,B
G62939005,30:02.7,0.263,,B62939005,28:10.9,0.487,B
G62939005,30:06.3,0.138,,B62939005,28:23.9,0.537,B
G62939005,30:08.6,0.225,,B62939005,28:31.3,0.662,B
G62939005,30:09.2,0.237,,B62939005,28:39.1,0.487,B
,,,,B62939005,28:42.4,0.75,B
,,,,B62939005,28:49.5,0.45,B
,,,,B62939005,28:57.3,0.637,B
,,,,B62939005,29:01.6,0.575,B
,,,,B62939005,29:04.6,0.512,B
,,,,B62939005,29:05.6,0.588,B
,,,,B62939005,29:06.7,0.637,B
,,,,B62939005,29:07.9,0.662,B
,,,,B62939005,29:09.0,0.688,B
,,,,B62939005,29:10.1,0.688,B
,,,,B62939005,29:11.1,0.5,B
,,,,B62939005,29:12.3,0.463,B
,,,,B62939005,29:31.4,0.5,B
,,,,B62939005,29:32.9,0.55,B
,,,,B62939005,29:37.2,0.613,B
,,,,B62939005,29:38.4,0.613,B
,,,,B62939005,29:39.5,0.625,B
,,,,B62939005,29:40.7,0.637,B
,,,,B62939005,29:41.9,0.625,B
,,,,B62939005,29:43.2,0.475,B
,,,,B62939005,29:44.4,0.65,B
,,,,B62939005,29:56.3,0.537,B
,,,,B62939005,29:57.4,0.525,B
,,,,B62939005,29:58.5,0.637,B
,,,,B62939005,29:59.6,0.662,B
