file,onset,duration,,file,onset,duration
G62144005,00:02.3,0.25,G,B62144005,00:04.5,0.588
G62144005,00:20.2,0.25,G,B62144005,00:05.4,0.512
G62144005,00:21.8,0.175,G,B62144005,00:06.6,0.525
G62144005,00:22.3,0.15,G,B62144005,00:07.8,0.487
G62144005,00:23.9,0.25,G,B62144005,00:08.5,0.4
G62144005,00:39.4,0.313,G,B62144005,00:09.0,1.938
G62144005,00:59.6,0.313,G,B62144005,00:11.2,0.775
G62144005,01:07.1,0.375,G,B62144005,00:12.4,0.725
G62144005,01:16.6,0.237,G,B62144005,00:13.5,0.713
G62144005,01:31.8,0.175,G,B62144005,00:14.7,0.487
G62144005,01:38.3,0.225,G,B62144005,00:19.2,0.438
G62144005,01:40.3,0.3,G,B62144005,00:27.5,0.525
G62144005,01:54.5,0.25,G,B62144005,00:31.4,0.5
G62144005,02:00.9,0.225,G,B62144005,00:32.6,1.013
G62144005,02:15.6,0.163,G,B62144005,00:33.8,0.525
G62144005,02:21.7,0.225,G,B62144005,00:35.0,0.575
G62144005,02:24.1,0.263,G,B62144005,00:36.1,0.6
G62144005,02:58.4,0.25,G,B62144005,00:37.4,0.625
G62144005,03:10.2,0.188,G,B62144005,00:43.8,0.475
G62144005,03:33.0,0.237,G,B62144005,00:44.4,6.438
G62144005,03:34.1,0.125,G,B62144005,00:51.5,0.637
G62144005,03:38.3,0.2,G,B62144005,00:57.6,0.575
G62144005,03:42.2,0.113,G,B62144005,01:09.9,0.525
G62144005,04:11.5,0.237,G,B62144005,01:18.3,0.45
G62144005,04:24.0,0.175,G,B62144005,01:19.4,0.463
G62144005,04:35.7,0.225,G,B62144005,01:20.6,0.512
G62144005,04:44.8,0.2,G,B62144005,01:22.3,0.563
G62144005,04:56.0,0.212,G,B62144005,01:23.1,0.85
G62144005,05:11.3,0.25,G,B62144005,01:24.3,0.762
G62144005,05:20.5,0.138,G,B62144005,01:25.2,0.787
G62144005,05:31.9,0.225,G,B62144005,01:26.2,2.6
G62144005,05:39.8,0.225,G,B62144005,01:28.9,0.912
G62144005,06:04.6,0.225,G,B62144005,01:43.3,0.55
G62144005,06:08.9,0.275,G,B62144005,01:44.6,0.512
G62144005,06:31.7,0.113,G,B62144005,01:45.9,0.5
G62144005,06:42.5,0.225,G,B62144005,01:47.1,0.525
G62144005,06:44.5,0.188,G,B62144005,01:48.4,0.475
G62144005,06:45.8,0.125,G,B62144005,01:49.5,0.563
G62144005,07:09.6,0.237,G,B62144005,01:50.7,0.512
G62144005,07:18.5,0.35,G,B62144005,01:51.9,0.537
G62144005,07:31.5,0.212,G,B62144005,01:53.1,0.525
