file,onset,duration,,file,onset,duration
G70607005,00:01.4,0.25,,B70607005,00:05.9,0.6
G70607005,00:08.4,0.275,,B70607005,00:19.4,0.5
G70607005,00:15.1,0.087,,B70607005,00:30.1,0.563
G70607005,00:21.9,0.2,,B70607005,00:31.2,0.588
G70607005,00:24.8,0.263,,B70607005,00:32.6,0.6
G70607005,00:25.6,0.15,,B70607005,00:33.9,0.637
G70607005,00:41.5,0.113,,B70607005,00:35.2,0.725
G70607005,00:41.9,0.125,,B70607005,00:36.5,0.75
G70607005,00:43.4,0.075,,B70607005,00:37.8,0.813
G70607005,00:44.7,0.113,,B70607005,00:39.2,0.738
G70607005,00:49.7,0.188,,B70607005,00:40.8,0.662
G70607005,00:55.3,0.15,,B70607005,01:03.2,0.563
G70607005,01:01.3,0.2,,B70607005,01:35.6,0.6
G70607005,01:12.1,0.25,,B70607005,01:36.7,0.575
G70607005,01:12.9,0.138,,B70607005,01:37.8,0.675
G70607005,01:19.7,0.163,,B70607005,01:39.0,0.6
G70607005,01:23.1,0.163,,B70607005,01:40.0,0.775
G70607005,01:23.6,0.125,,B70607005,01:41.2,0.688
G70607005,01:45.2,0.125,,B70607005,01:42.4,0.65
G70607005,01:47.9,0.287,,B70607005,02:12.9,0.6
G70607005,01:55.8,0.15,,B70607005,02:26.4,0.525
G70607005,01:56.2,0.138,,B70607005,02:27.7,0.625
G70607005,01:58.4,0.225,,B70607005,02:29.1,0.613
G70607005,02:01.9,0.237,,B70607005,02:30.4,0.662
G70607005,02:06.0,0.237,,B70607005,02:31.8,0.675
G70607005,02:10.2,0.263,,B70607005,02:43.4,0.65
G70607005,02:11.0,0.188,,B70607005,03:04.6,0.625
G70607005,02:19.9,0.237,,B70607005,03:05.8,0.675
G70607005,02:26.2,0.15,,B70607005,03:07.0,0.688
G70607005,02:35.0,0.212,,B70607005,03:08.2,0.7
G70607005,02:38.9,0.212,,B70607005,03:09.4,0.725
G70607005,02:41.7,0.263,,B70607005,03:10.6,0.738
G70607005,02:46.7,0.125,,B70607005,03:38.9,0.588
G70607005,02:52.6,0.225,,B70607005,03:48.6,0.625
G70607005,02:53.0,0.163,,B70607005,04:00.5,0.6
G70607005,02:59.3,0.212,,B70607005,04:01.9,0.613
G70607005,03:05.4,0.15,,B70607005,04:03.3,0.625
G70607005,03:13.7,0.225,,B70607005,04:05.1,0.525
G70607005,03:19.9,0.263,,B70607005,04:17.6,0.575
G70607005,03:20.5,0.175,,B70607005,04:34.7,0.55
G70607005,03:26.0,0.2,,B70607005,04:52.0,0.5
G70607005,03:33.1,0.125,,B70607005,04:59.3,0.487
G70607005,03:41.4,0.263,,B70607005,05:29.3,0.525
G70607005,03:45.1,0.237,,B70607005,05:32.1,0.575
G70607005,03:51.3,0.263,,B70607005,05:33.4,0.637
G70607005,03:52.1,0.138,,B70607005,05:34.9,0.625
G70607005,03:56.1,0.138,,B70607005,06:13.0,0.5
G70607005,04:07.8,0.275,,B70607005,06:20.6,0.588
G70607005,04:12.7,0.163,,B70607005,06:21.7,0.637
G70607005,04:20.6,0.237,,B70607005,06:22.9,0.613
G70607005,04:21.2,0.2,,B70607005,06:24.1,0.713
G70607005,04:30.9,0.163,,B70607005,06:25.3,0.713
G70607005,04:31.1,0.287,,B70607005,06:26.5,0.675
G70607005,04:38.9,0.313,,B70607005,07:11.0,0.675
G70607005,04:39.6,0.163,,B70607005,07:12.4,0.637
G70607005,04:43.0,0.125,,B70607005,07:13.8,0.65
G70607005,04:51.6,0.113,,B70607005,07:29.5,0.563
G70607005,04:55.4,0.188,,B70607005,07:30.7,0.575
G70607005,04:59.2,0.125,,B70607005,07:31.8,0.537
G70607005,05:03.0,0.263,,B70607005,07:32.9,0.537
G70607005,05:10.4,0.087,,B70607005,07:34.1,0.625
G70607005,05:14.6,0.2,,B70607005,07:35.5,0.625
G70607005,05:17.6,0.212,,B70607005,08:07.5,0.525
G70607005,05:20.8,0.13,,B70607005,08:09.0,0.613
G70607005,05:21.2,0.138,,B70607005,08:10.5,0.588
G70607005,05:25.9,0.234,,B70607005,08:19.9,0.525
G70607005,05:40.0,0.138,,B70607005,08:42.2,0.588
G70607005,05:44.5,0.182,,B70607005,08:43.5,0.637
G70607005,05:45.0,0.095,,B70607005,08:44.7,0.65
G70607005,05:47.8,0.199,,B70607005,08:46.0,0.625
G70607005,05:52.0,0.207,,B70607005,08:47.2,0.675
G70607005,05:57.3,0.164,,B70607005,09:05.7,0.575
G70607005,06:00.2,0.303,,B70607005,09:07.1,0.625
G70607005,06:08.8,0.138,,B70607005,09:08.4,0.625
G70607005,06:09.2,0.147,,B70607005,09:09.7,0.713
G70607005,06:16.3,0.216,,B70607005,09:11.1,0.675
G70607005,06:17.1,0.121,,B70607005,09:12.6,0.637
G70607005,06:19.3,0.164,,B70607005,09:28.3,0.588
G70607005,06:29.2,0.19,,B70607005,09:44.7,0.575
G70607005,06:39.0,0.13,,B70607005,10:11.4,0.475
G70607005,06:44.6,0.216,,B70607005,10:21.9,0.588
G70607005,06:50.0,0.138,,B70607005,10:54.8,0.475
G70607005,06:50.5,0.138,,B70607005,10:56.2,0.6
G70607005,06:57.3,0.234,,B70607005,10:57.6,0.675
G70607005,07:04.9,0.216,,B70607005,10:59.0,0.688
G70607005,07:09.1,0.095,,B70607005,11:18.4,0.637
G70607005,07:19.3,0.156,,B70607005,11:19.3,1.063
G70607005,07:19.6,0.225,,B70607005,11:20.4,3.925
G70607005,07:25.2,0.225,,B70607005,11:24.4,0.762
G70607005,07:29.3,0.121,,B70607005,11:25.7,0.7
G70607005,07:37.2,0.156,,B70607005,12:04.2,0.887
G70607005,07:37.7,0.095,,B70607005,12:26.6,0.6
G70607005,07:43.7,0.199,,B70607005,12:39.7,0.575
G70607005,07:48.4,0.173,,B70607005,13:01.4,0.675
G70607005,07:50.1,0.242,,B70607005,13:02.8,0.575
G70607005,07:51.0,0.138,,B70607005,13:04.0,0.738
G70607005,07:54.9,0.138,,B70607005,13:05.4,0.688
G70607005,08:01.7,0.138,,B70607005,13:06.7,0.738
G70607005,08:02.1,0.112,,B70607005,13:08.2,0.688
G70607005,08:04.2,0.182,,B70607005,13:33.8,0.475
G70607005,08:16.0,0.173,,B70607005,13:53.6,0.525
G70607005,08:22.0,0.234,,B70607005,13:54.7,0.575
G70607005,08:25.2,0.303,,B70607005,13:55.9,0.563
G70607005,08:25.6,0.086,,B70607005,13:57.0,0.588
G70607005,08:32.1,0.121,,B70607005,13:58.1,0.65
G70607005,08:40.5,0.207,,B70607005,13:59.3,0.713
G70607005,08:50.2,0.216,,B70607005,14:10.3,0.55
G70607005,08:58.3,0.182,,B70607005,14:24.1,0.6
G70607005,08:58.8,0.121,,B70607005,14:25.3,0.613
G70607005,09:01.0,0.234,,B70607005,14:26.5,0.688
G70607005,09:18.1,0.216,,B70607005,14:27.6,0.738
G70607005,09:32.5,0.121,,B70607005,14:28.9,0.688
G70607005,09:39.4,0.346,,B70607005,14:30.1,0.738
