file,onset,duration,,file,onset,duration
G52545004,03:11.1,0.237,,B52545004,04:49.5,2.794
G52545004,03:11.7,0.275,,B52545004,04:52.4,1.378
G52545004,03:14.1,0.225,,B52545004,04:53.9,3.07
G52545004,03:14.4,0.175,,B52545004,04:57.2,1.679
G52545004,03:14.7,0.15,,B52545004,04:59.3,1.084
G52545004,03:15.1,0.125,,B52545004,05:19.0,0.532
G52545004,03:15.5,0.2,,B52545004,05:23.7,0.32
G52545004,03:27.3,0.2,,B52545004,05:24.2,1.015
G52545004,03:27.8,0.212,,B52545004,05:25.3,1.077
G52545004,03:29.2,0.212,,B52545004,05:26.4,4.899
G52545004,03:30.4,0.388,,B52545004,05:31.5,0.846
G52545004,03:30.9,0.212,,B52545004,05:32.7,0.57
G52545004,03:31.2,0.275,,B52545004,05:33.8,0.564
G52545004,03:32.1,0.15,,B52545004,05:34.8,0.551
G52545004,03:32.6,0.212,,B52545004,05:35.8,0.62
G52545004,03:33.1,0.15,,B52545004,05:51.7,0.388
G52545004,03:33.9,0.212,,B52545004,05:52.3,0.971
G52545004,03:34.3,0.175,,B52545004,05:53.4,0.971
G52545004,03:34.6,0.163,,B52545004,05:54.4,0.445
G52545004,03:35.1,0.163,,B52545004,05:54.9,0.52
G52545004,03:36.4,0.188,,B52545004,05:55.6,0.507
G52545004,03:36.9,0.15,,B52545004,05:56.2,2.212
G52545004,03:40.4,0.2,,B52545004,05:58.7,0.952
G52545004,03:41.2,0.188,,B52545004,06:00.8,0.338
G52545004,03:41.6,0.237,,B52545004,06:02.0,0.645
G52545004,03:42.2,0.163,,B52545004,06:02.9,0.413
G52545004,03:51.9,0.388,,B52545004,06:04.1,0.658
G52545004,03:52.4,0.237,,B52545004,06:05.2,0.526
G52545004,03:53.4,0.225,,B52545004,06:06.2,0.614
G52545004,03:54.1,0.375,,B52545004,06:07.2,0.608
G52545004,03:54.6,0.175,,B52545004,06:08.3,0.67
G52545004,03:57.5,0.237,,B52545004,06:09.3,0.608
G52545004,03:57.9,0.163,,B52545004,06:11.8,0.457
G52545004,03:58.2,0.2,,B52545004,06:12.9,0.482
G52545004,03:58.5,0.188,,B52545004,06:13.9,0.507
G52545004,03:58.9,0.175,,B52545004,06:14.9,0.57
G52545004,03:59.1,0.163,,B52545004,06:20.1,0.382
G52545004,03:59.6,0.163,,B52545004,06:24.3,0.276
G52545004,04:00.5,0.35,,B52545004,06:25.5,1.334
G52545004,04:00.9,0.087,,B52545004,06:27.0,7.023
G52545004,04:01.0,0.138,,B52545004,06:34.5,0.614
G52545004,04:05.7,0.138,,B52545004,06:35.9,0.332
