file,onset,duration,,file,onset,duration
G52936011,00:08.5,0.154,,B52936011,00:00.0,3.809
G52936011,00:09.0,0.127,,B52936011,00:04.3,0.704
G52936011,00:09.9,0.172,,B52936011,00:05.5,0.695
G52936011,00:10.3,0.145,,B52936011,00:06.7,0.659
G52936011,00:10.6,0.1,,B52936011,00:23.1,0.867
G52936011,00:11.0,0.145,,B52936011,00:24.1,5.019
G52936011,00:21.3,0.136,,B52936011,00:29.2,1.038
G52936011,00:22.2,0.1,,B52936011,00:30.4,0.524
G52936011,00:30.4,0.145,,B52936011,00:36.4,0.433
G52936011,00:30.8,0.109,,B52936011,00:37.6,0.433
G52936011,00:31.2,0.118,,B52936011,00:38.7,0.46
G52936011,00:31.5,0.118,,B52936011,00:39.9,0.695
G52936011,00:32.0,0.118,,B52936011,00:41.2,0.46
G52936011,00:33.9,0.181,,B52936011,00:42.2,0.46
G52936011,00:34.4,0.109,,B52936011,00:43.2,0.433
G52936011,00:34.9,0.072,,B52936011,00:44.2,0.451
G52936011,00:40.8,0.118,,B52936011,00:45.3,0.478
G52936011,00:42.0,0.072,,B52936011,00:52.2,0.542
G52936011,00:45.3,0.118,,B52936011,00:53.7,0.379
G52936011,00:46.0,0.118,,B52936011,00:54.8,0.533
G52936011,00:47.5,0.172,,B52936011,00:55.9,0.551
G52936011,00:47.9,0.118,,B52936011,00:56.6,5.841
G52936011,00:48.3,0.145,,B52936011,01:02.6,1.011
G52936011,00:49.0,0.082,,B52936011,01:03.9,0.605
G52936011,01:04.6,0.136,,B52936011,01:15.8,0.361
G52936011,01:04.8,0.217,,B52936011,01:17.0,0.361
G52936011,01:05.3,0.154,,B52936011,01:17.8,1.453
G52936011,01:05.7,0.136,,B52936011,01:19.4,0.803
G52936011,01:08.4,0.163,,B52936011,01:20.5,0.776
G52936011,01:09.0,0.181,,B52936011,01:21.4,5.958
G52936011,01:11.9,0.235,,B52936011,01:27.9,0.578
G52936011,01:12.3,0.127,,B52936011,01:29.1,0.578
G52936011,01:12.7,0.172,,B52936011,01:43.7,0.65
G52936011,01:14.6,0.163,,B52936011,01:44.4,0.497
G52936011,01:27.6,0.154,,B52936011,01:45.1,6.455
G52936011,01:28.8,0.118,,B52936011,01:52.0,0.632
G52936011,01:32.4,0.154,,B52936011,02:05.9,0.758
G52936011,01:32.9,0.09,,B52936011,02:06.9,0.686
G52936011,01:35.1,0.199,,B52936011,02:07.9,6.247
G52936011,01:35.6,0.145,,B52936011,02:32.1,0.569
G52936011,01:36.1,0.136,,B52936011,02:32.9,5.317
G52936011,01:41.4,0.154,,B52936011,02:38.2,1.119
G52936011,01:42.0,0.1,,B52936011,02:39.4,1.074
