file,onset,duration,,file,onset,duration
G52718004,00:01.2,0.225,,B52718004,00:00.0,0.738
G52718004,00:01.9,0.15,,B52718004,00:01.2,0.775
G52718004,00:04.2,0.175,,B52718004,00:02.4,0.613
G52718004,00:09.3,0.212,,B52718004,00:03.5,0.613
G52718004,00:09.6,0.225,,B52718004,00:04.6,0.65
G52718004,00:10.2,0.263,,B52718004,00:05.8,0.662
G52718004,00:11.0,0.212,,B52718004,00:11.4,0.537
G52718004,00:16.3,0.287,,B52718004,00:12.6,0.6
G52718004,00:16.7,0.425,,B52718004,00:13.7,0.7
G52718004,00:17.4,0.263,,B52718004,00:15.0,1.263
G52718004,00:20.3,0.225,,B52718004,00:19.0,1.038
G52718004,00:22.3,0.138,,B52718004,00:20.3,1.712
G52718004,00:27.6,0.212,,B52718004,00:22.5,0.6
G52718004,00:28.0,0.188,,B52718004,00:23.7,0.838
G52718004,00:28.4,0.275,,B52718004,00:24.9,0.775
G52718004,00:29.0,0.237,,B52718004,00:30.6,0.6
G52718004,00:30.0,0.287,,B52718004,00:32.0,0.738
G52718004,00:30.6,0.188,,B52718004,00:33.1,0.95
G52718004,00:31.7,0.25,,B52718004,00:34.3,2.388
G52718004,00:38.8,0.287,,B52718004,00:36.9,0.563
G52718004,00:39.2,0.225,,B52718004,00:41.0,0.637
G52718004,00:39.7,0.263,,B52718004,00:42.0,2.388
G52718004,00:40.1,0.1,,B52718004,00:44.4,1.063
G52718004,00:50.1,0.2,,B52718004,00:45.6,0.975
G52718004,00:52.0,0.2,,B52718004,00:46.8,1.013
G52718004,00:55.3,0.212,,B52718004,00:48.0,0.9
G52718004,00:55.7,0.188,,B52718004,00:49.2,1.113
G52718004,00:56.1,0.188,,B52718004,00:50.7,0.625
G52718004,00:56.7,0.163,,B52718004,00:52.1,0.55
G52718004,01:05.8,0.225,,B52718004,00:57.6,0.55
G52718004,01:06.1,0.463,,B52718004,00:58.5,0.863
G52718004,01:06.7,0.375,,B52718004,00:59.5,6.037
G52718004,01:09.2,0.113,,B52718004,01:13.0,0.762
G52718004,01:09.6,0.1,,B52718004,01:17.0,3.913
G52718004,01:10.0,0.188,,B52718004,01:21.4,0.713
G52718004,01:10.5,0.175,,B52718004,01:22.7,0.713
G52718004,01:11.5,0.25,,B52718004,01:30.2,0.688
G52718004,01:12.2,0.175,,B52718004,01:31.5,0.675
G52718004,01:16.1,0.138,,B52718004,01:32.5,0.75
G52718004,01:16.5,0.2,,B52718004,01:33.8,0.675
G52718004,01:16.7,0.188,,B52718004,01:35.0,0.75
G52718004,01:24.1,0.237,,B52718004,01:38.7,1.113
G52718004,01:24.4,0.188,,B52718004,01:40.1,0.55
G52718004,01:24.7,0.313,,B52718004,01:41.2,0.725
G52718004,01:25.3,0.2,,B52718004,01:42.5,0.713
